rowid,fpl_orbper,fpl_smax,fpl_bmasse,fpl_rade,fpl_dens,fpl_tranflag,fpl_cbflag,fpl_snum,dec,fst_teff,fst_logg,fst_lum,fst_mass,fst_rad,fst_met,fst_metratio,fst_age,cos_simil,weighted_simil,cluster
103,2.13174,6.1761086775078455,0.26,0.6920000000000001,4.31,1,0,1,0.4881140000000001,4991.0,4.354839473684218,-0.7659999999999999,0.78,0.55,0.011107881644409444,0,4.236718483690839,0.9904948030783172,0.9877523896411979,0
104,3.80464,6.1761086775078455,1.98,1.22,5.99,1,0,1,2.282436,5942.5,4.09,0.458,1.07,1.6,0.09,0,4.236718483690839,0.9822281197046222,0.9741549844752744,0
105,2.71578,6.1761086775078455,1.08,1.03,5.43,1,0,1,4.55734,4761.0,4.63,-0.7609999999999999,0.67,0.54,-0.33,0,4.236718483690839,0.9900445214331545,0.9889485406210751,0
106,3.9615099999999996,6.1761086775078455,0.972,1.0,5.34,1,0,1,5.988378,4326.0,4.74,-0.8740000000000001,0.61,0.63,0.011107881644409444,0,4.236718483690839,0.9953625732194078,0.99371085714872,0
107,4.16959,6.1761086775078455,1.37,1.1,5.66,1,0,1,6.134857,5053.0,4.354839473684218,-0.635,0.8,0.63,0.011107881644409444,0,4.236718483690839,0.9912129767982462,0.9880101954312963,0
108,8.050722,6.1761086775078455,2.27,1.31,5.55,1,0,1,-16.341755,5502.7,4.46,-0.17600000000000002,0.88,0.83,-0.13,0,4.236718483690839,0.9870356680103654,0.9838357096891089,0
109,4.50756,6.1761086775078455,3.53,1.7,3.95,1,0,1,-14.121665,5769.5,4.354839473684218,-0.17,0.93,0.82,0.011107881644409444,0,4.236718483690839,0.9857713486676647,0.9812093072292136,0
110,2.87814,6.1761086775078455,1.01,1.01,5.39,1,0,1,-13.900921,3550.11,4.354839473684218,-0.07515228426395948,0.22,1.5409463240905692,0.011107881644409444,0,4.236718483690839,0.9866886495036284,0.9849109988499377,0
111,5.29711,6.1761086775078455,3.26,1.62,4.21,1,0,1,-13.610113,4018.74,4.354839473684218,-0.98,0.56,0.67,0.011107881644409444,0,4.236718483690839,0.9872964736635065,0.9866149217811192,0
112,2.25372,6.1761086775078455,0.6659999999999999,0.9,5.02,1,0,1,-9.509531,3637.57,4.354839473684218,-0.07515228426395948,0.41,1.5409463240905692,0.011107881644409444,0,4.236718483690839,0.9881833691550839,0.9863140656792435,0
113,1.5825200000000001,6.1761086775078455,0.84,0.96,5.22,1,0,1,-7.9724059999999985,5014.67,4.354839473684218,-0.593,0.71,0.67,0.011107881644409444,0,4.236718483690839,0.9886791534242526,0.9859639406291175,0
